et	asyenhv
	0.337733847938
omne	erwtw
	0.453672778948
malum	anastasewv
	0.518825575454
ubi	poreuesye
	0.390153154295
suas	tacei
	0.561934975149
itaque	prwi
	0.341699061361
Aaron	auta
	0.424032913355
Aegypti	moliv
	0.541198517108
hominis	ioudaioi
	0.492759226509
tunc	ioudaioi
	0.411606781767
illo	hrconto
	0.391666238765
Iesu	proskarterountev
	0.308501697703
cunctis	klaiontev
	0.39164279866
sibi	anastasei
	0.417786356598
conspectu	toiauta
	0.446285282093
Iacob	arniou
	0.370009022814
unum	apelyein
	0.490963242335
exercituum	proseucomenoi
	0.411089703662
dicentes	pasca
	0.392458365413
donec	gewrgoi
	0.37937542076
viam	nomw
	0.482026066887
suae	dunamai
	0.49753916686
suos	tautaiv
	0.486181090987
erunt	karpon
	0.367845289975
anima	ginwskomen
	0.520970007347
illud	fagw
	0.369274877303
corde	perissoterwv
	0.410630009712
quinque	polin
	0.454881614526
animam	alhyeia
	0.362757282002
quando	parabolhn
	0.452199823479
sub	blepeiv
	0.505617958749
nomine	iordanou
	0.452165548324
diem	filippw
	0.462015167896
estis	econtev
	0.305164825055
vocem	par
	0.554214811017
ipsi	tisin
	0.411623869508
etiam	exwyen
	0.465058205328
patris	aggeloi
	0.491957169443
esse	epistata
	0.439916315102
viginti	fulakav
	0.409333950356
at	proskalesamenov
	0.478065542645
loco	upagete
	0.35982572538
unus	polin
	0.461629874793
ultra	oiktirmwn
	0.429189386128
porro	esalpisen
	0.40424991393
nostri	apostoloiv
	0.440452020104
vestra	gnwsin
	0.371483417353
nolite	tinev
	0.439857774995
quomodo	episteusan
	0.375668700478
apud	mnhmeia
	0.355255742135
caput	meinate
	0.396436923563
via	di
	0.533294973461
cui	ploia
	0.376836131414
venerunt	hgagon
	0.365058911925
genuit	aggelov
	0.405573972159
gentes	carismata
	0.390631717183
civitatem	euyuv
	0.500846303817
pater	megalhn
	0.44468180417
illos	ocloiv
	0.421898963745
quas	ekeinw
	0.519908888503
facie	zhn
	0.557282588685
vestris	outoi
	0.36545113608
decem	phran
	0.450590521978
adhuc	exeplhssonto
	0.349706150678
universa	suggeneiv
	0.513203641401
quattuor	polla
	0.46568769277
faciam	archn
	0.520823305751
altare	poihsw
	0.391616626112
nisi	baptisyhnai
	0.368224689161
mare	upage
	0.458276355617
adversum	law
	0.373079504466
Mosen	talanta
	0.421849702799
locum	ephrwtwn
	0.410175187645
opus	paradwsousin
	0.388853573476
hii	tessarakonta
	0.383707379819
sacerdotes	pente
	0.455826198634
quare	oikia
	0.416443027337
bonum	logwn
	0.431483294935
hodie	legomenoiv
	0.344728189936
tuos	uioiv
	0.404918796313
iudicium	paraklhsewv
	0.377035895797
dico	gewrgoi
	0.487733531806
meis	ontev
	0.240887731928
duo	hran
	0.391121247507
spiritus	eucaristhsav
	0.48051812382
caelo	legeiv
	0.447403426508
quidem	anelein
	0.417085901835
habet	otou
	0.558326865721
cuius	htiv
	0.432137715771
hanc	iessai
	0.454414706462
os	div
	0.459716226069
factus	rizan
	0.445075206631
ore	paradwsei
	0.508450682101
anno	fulakh
	0.346169841251
semper	melesin
	0.277879843891
servi	sunagwgav
	0.488183254443
dabo	yanatou
	0.466962137631
magna	paida
	0.559977342556
meae	diakonia
	0.363811119011
ipsum	probata
	0.451781971857
absque	ecwsin
	0.474226936468
caeli	dwmen
	0.505115307332
mortuus	kerata
	0.381533118964
ignis	poieite
	0.494089007372
regnum	oriwn
	0.478788413149
Christi	tisin
	0.399478664008
sumus	fusin
	0.41781099159
annis	pulwnev
	0.445882973407
nocte	petrw
	0.387215396239
facies	ean
	0.400232598767
mane	upagei
	0.39718526308
nonne	ioudaiav
	0.445253260175
facta	euriskw
	0.474768349015
tribus	escatoi
	0.564165915687
abiit	topov
	0.365881468955
sive	umeiv
	0.459232339039
aeternum	euloghtov
	0.467676404591
centum	coirwn
	0.410580289415
vestri	fusin
	0.381791160789
duodecim	ecortasyhsan
	0.346133396587
viros	sunagwgaiv
	0.429930870479
opera	parakaloumen
	0.437483156957
sanguinem	poieite
	0.320200276154
sermo	ierw
	0.454794321328
iam	elegon
	0.4964112791
vel	oti
	0.404984643995
tempus	poreuomenoi
	0.395944213255
vestrum	te
	0.469106256541
Ioseph	tessara
	0.408245696738
regi	hrwdhv
	0.48799308863
simul	threin
	0.370378265727
praecepit	kaisarov
	0.336446769824
mulier	doyhnai
	0.430773790272
egressus	esplagcnisyh
	0.370911689237
tres	ekballein
	0.495388986681
tecum	pesountai
	0.39836376989
dixi	ioudaiouv
	0.485762896887
uxorem	ouranov
	0.389378597963
gloria	paraklhsei
	0.404410197631
oculis	noi
	0.411303041649
percussit	bayov
	0.373679011616
Ephraim	yronou
	0.321829330777
omnium	ontav
	0.34575850602
vade	hrwdhv
	0.355192212464
civitates	econtav
	0.466777325336
huius	apostoloiv
	0.446430443404
fili	genomenhv
	0.531108012311
Abraham	gh
	0.386555999832
facere	apolesai
	0.391710154942
virum	filwn
	0.504514413043
una	hran
	0.405719525631
servus	gastri
	0.486515298175
Babylonis	genomenoi
	0.397639252087
gladio	eynesin
	0.375181836091
Iosue	dwdeka
	0.341588243737
unusquisque	prosecein
	0.481121889506
oculos	hmeiv
	0.443296206356
amen	prwi
	0.469829565947
duos	fagwsin
	0.497012317441
respondens	eyaumasan
	0.367418544669
sine	poihsousin
	0.3429362602
peccato	poieite
	0.381673880917
nihil	oidasin
	0.286069501897
hominum	amartwlouv
	0.469415609709
vidi	ioudaiouv
	0.437339563133
id	blhyhnai
	0.458769862662
vidit	laov
	0.386060899598
postquam	anesth
	0.427362450754
eas	upakouete
	0.437915237759
triginta	fulakhn
	0.484718706467
Iesum	farisaiouv
	0.345999674604
princeps	cwrav
	0.367542733783
Aegypto	poleiv
	0.550864543869
gentibus	noi
	0.427880049744
Sion	aimati
	0.389800944883
forte	apistoiv
	0.513088705711
ascendit	sidwnov
	0.420598203776
fecerunt	neon
	0.350471440974
patres	katoikousin
	0.479283974219
meos	idioiv
	0.356333127645
Beniamin	tessarev
	0.341480713511
inde	ballei
	0.434246103193
potest	eipe
	0.380843842159
partem	mikron
	0.508189201333
monte	edidou
	0.499457254174
regnavit	esfragismenoi
	0.440822001618
Mosi	edidasken
	0.285885107411
mecum	oligoi
	0.398938779313
supra	apolush
	0.422497621731
propterea	makedonian
	0.358238321239
multa	par
	0.524134040893
sacerdos	mhpote
	0.459109010464
hominem	exestin
	0.464281881853
nam	eghgertai
	0.552080388784
patrem	megala
	0.448328864687
Christo	eisin
	0.326296585384
tulit	gumnov
	0.343799044369
filia	fwnhv
	0.507974335659
iniquitatem	energeian
	0.373507100226
tuorum	idiouv
	0.307388571843
posuit	kalov
	0.374865346456
reges	proskarterountev
	0.43270544372
quidam	hrwthsan
	0.305361712643
montem	petrou
	0.386542995871
vester	loipoi
	0.477102544593
mi	andra
	0.450373267667
testimonium	amartwlouv
	0.416548552342
iste	sunagwgav
	0.516019810319
suorum	touv
	0.277028003248
Philisthim	wsanna
	0.370851834514
quadraginta	anebh
	0.435465877691
noster	makedoniav
	0.443821991434
ipso	hmin
	0.459459493362
magis	didaskontev
	0.419479262575
Moab	plhrhv
	0.374688383279
vocavit	hliov
	0.492340241283
civitate	proskunountav
	0.476174823271
pedes	oidasin
	0.344194357867
idcirco	anagkhn
	0.30721911188
legem	ergazomenoi
	0.378843890792
homines	esyiein
	0.424433050844
sempiternum	glwsswn
	0.40291381523
panem	fagw
	0.395144073123
habitatores	asterev
	0.439268648201
tuas	gnwsesye
	0.434704071633
hac	eswyen
	0.46033490992
aquae	diwkeiv
	0.380604497233
holocaustum	yelete
	0.322639838953
caelum	apekriyhsan
	0.458604423321
semen	esh
	0.493966176653
manibus	makarioi
	0.369629425995
Ioab	ekayisen
	0.391724314006
tabernaculum	deute
	0.57255685583
vasa	yewreite
	0.395495827351
fratribus	escatoi
	0.501656128047
filiae	acri
	0.508463565308
patribus	omoioi
	0.514404937515
nemo	diati
	0.361310001641
oculi	toutoiv
	0.45177757706
civitatis	exelyontev
	0.436088618685
gloriam	perissoterwv
	0.379049135142
quinquaginta	polin
	0.44583432221
earum	telouv
	0.352330654208
peccatum	lalwn
	0.494911647831
frater	megalhn
	0.381093915587
maris	lambanontev
	0.472084189368
arcam	apekrinato
	0.446944000406
faciet	alhyeian
	0.507254326389
vitae	sunergoi
	0.425482273878
Salomon	iscuov
	0.490816069926
dices	parekaloun
	0.450783722792
tabernaculi	poiounta
	0.458357204123
deserto	sukh
	0.35880299274
nostra	agioiv
	0.466197163319
misericordiam	adam
	0.43594174044
Samuhel	eplhsyh
	0.369620230794
gentium	euaggelizomenoi
	0.510442133108
tribu	tessarwn
	0.439451499506
dedi	apeyanon
	0.452129311718
nimis	elabomen
	0.483200315093
tantum	amartwlwn
