kai	Ziza
	0.532949217041
outoi	pugnabant
	0.476827697256
eidon	Oza
	0.513703076118
euyewv	Asiongaber
	0.455023456152
ecwn	Michol
	0.520172125948
nekrwn	proelia
	0.602806741739
epoihsen	levitici
	0.512381928279
ghn	Booz
	0.446520647422
pan	Ioachaz
	0.598930041602
toutou	vulgo
	0.590887871578
criston	Ioachim
	0.583370082127
basileia	socrus
	0.43377144382
swma	placuerat
	0.51132304246
gunh	Naaman
	0.462723531529
elegon	mundati
	0.584802666146
ioudaiwn	scuta
	0.564309425995
monon	Ahaz
	0.467051529899
abraam	Cyri
	0.609326534219
dunatai	Baptista
	0.456356820166
kosmou	adduc
	0.592723734264
eauton	reliqua
	0.485349718251
megalh	Helimelech
	0.530096187402
israhl	Adadezer
	0.484101982684
toutwn	Chaldeis
	0.5156762187
logov	Assyrios
	0.61760857653
kurion	Ioiachin
	0.548259251694
nomou	provincias
	0.655219001019
prwton	Athersatha
	0.494650423647
kagw	verumtamen
	0.608281404813
gegraptai	Husai
	0.547692849044
polla	Maspha
	0.360733102728
tina	Athersatha
	0.534310662465
edwken	Moloch
	0.596495468635
allhlouv	Iuda
	0.523812237894
eautouv	urbe
	0.480034025616
elegen	Asiongaber
	0.598872558244
exhlyen	Ithamar
	0.407453544473
exw	Gerson
	0.355851807643
oidate	Iudaeam
	0.590910644346
ouv	Sidon
	0.604922043583
eite	Ezechiam
	0.602105980274
hlyon	Iamin
	0.452957514924
agaph	Ioachim
	0.578570211783
touton	reliqua
	0.58184394853
fwnh	Helisei
	0.529064620536
andrev	Asom
	0.38169130389
tekna	Ahaz
	0.481143565975
kardiav	transtulit
	0.526184819379
erga	Esaiam
	0.517495895731
anyrwpon	religio
	0.540779618554
polin	Mooli
	0.357974845456
kay	Ahaz
	0.370795767947
idwn	zai
	0.584102436043
par	Barachiae
	0.630907323157
cariv	Ezechiam
	0.573723839699
wra	Sarra
	0.547327503389
hmeran	Sechenia
	0.429674113932
zwhn	Naboth
	0.632848301649
basileian	socrus
	0.47102435393
dwdeka	Gerson
	0.438523465604
oitinev	Masphat
	0.463900149413
panti	Sedecias
	0.46421962719
oikon	Oza
	0.533339074635
nomon	reliqua
	0.598894177207
wde	Asiongaber
	0.562086085905
ceirav	Basemath
	0.38186628118
dabid	arcana
	0.559725821574
ekeinov	egi
	0.549854502553
hdh	Athersatha
	0.42001710826
pasan	Soba
	0.555766493159
osa	Achan
	0.486141097184
legousin	synagogae
	0.492279597806
doxan	Nabal
	0.4792545766
amartiav	Ezechiam
	0.566205832361
pistei	Ezechiam
	0.504998398209
ioudaioi	vinitores
	0.530113220314
tauthn	Bathuel
	0.554362541129
opwv	Felethi
	0.407656994322
mhde	Iudam
	0.488150242181
kardia	Amasiam
	0.477878240742
oida	verumtamen
	0.579331349034
aggelov	Mifiboseth
	0.607237950148
ouci	Barabban
	0.471439164923
exousian	Hiezrahelitae
	0.515113601047
iwannhv	levitici
	0.499716819897
podav	Heth
	0.462666860087
gunaika	Zare
	0.52195113593
pistin	Ezechiam
	0.425363731989
kalon	Hieroboam
	0.640510058792
hv	regnaret
	0.660264991495
eynh	Achimaas
	0.460180662818
eautoiv	reliquos
	0.628175398754
carin	Ezechiam
	0.495648222674
esmen	regis
	0.505472472986
yanatou	Balac
	0.579641544062
dio	Amasias
	0.468282377233
auta	Sophoniam
	0.598967192068
farisaioi	synagogae
	0.508689222445
odon	Oza
	0.450105891573
ara	Ezechiam
	0.511018296759
ecw	Esaiam
	0.598283751744
anhr	Naaman
	0.542713472854
akousantev	castrametati
	0.440610581862
pou	tollam
	0.518726634179
basileuv	VAV
	0.53006064101
hmeraiv	princeps
	0.630354739442
agion	Ahaz
	0.533286276442
doxhv	Ahab
	0.569447136806
arciereiv	Altissimi
	0.538651508259
emprosyen	Rabsaces
	0.368265039912
oiv	Iuda
	0.759085669553
eirhnh	Ezechiam
	0.523736890985
elywn	zai
	0.427326681466
ena	Hierobbaal
	0.500668149569
ecete	Samariam
	0.603913844412
pote	Esaiam
	0.552354483403
pro	Sedrac
	0.568591445465
eautou	Syriam
	0.564173302135
mey	Amasiam
	0.41718304844
poihsai	Sophoniam
	0.550045540073
fwv	Husai
	0.48967009397
eynwn	proelia
	0.516238068176
ouai	Iohanne
	0.417502158071
elyein	Godoliam
	0.632801415421
econtev	duxerant
	0.636363332012
proswpon	Chodorlahomor
	0.42400633455
ekeinh	Achan
	0.59561119265
mayhtwn	defuncti
	0.611668967427
ecomen	regis
	0.557170926202
oclov	levitici
	0.642387055519
pasa	Achimaas
	0.514405712266
genhtai	Esaias
	0.52832183953
zwhv	Ahaz
	0.553978580243
topon	octavo
	0.575187513557
kosmon	conpleretur
	0.580462787923
aiwnion	Damasco
	0.691741070531
anyrwpoiv	Iudaeos
	0.59577901264
laon	Hiesue
	0.557335791191
eiden	Ithamar
	0.468184927264
grammateiv	hii
	0.513292131462
alhyeia	Ezechiam
	0.568099539972
yalassan	Heber
	0.393694392583
pash	Ioachim
	0.561631777547
logw	Ezechiam
	0.363067376195
adelfov	aedificabo
	0.643441918198
aphlyen	Ithamar
	0.457237733024
af	Godoliam
	0.465860351089
oidamen	impleri
	0.558527497274
eautwn	Masphat
	0.581765296587
alhyeiav	Ioachim
	0.478736628895
agiou	Adadezer
	0.642941610715
ouranon	Helisei
	0.538160417969
mayhtaiv	hii
	0.524341591532
eishlyen	Ithamar
	0.441663387753
aima	Agag
	0.378565599591
ergwn	nuntium
	0.593331448144
ouranwn	Heliseus
	0.495887480709
treiv	Musi
	0.446202072769
adelfon	aedificavitque
	0.601356153278
pantote	Ezechiam
	0.411948407383
fwnhn	Abigail
	0.494788755409
wsper	Ezechiam
	0.501552953338
yelhma	Ezechiam
	0.517261697892
egennhsen	cymbalis
	0.55117982979
ekastov	Amasias
	0.56499991197
euaggelion	Ahaz
	0.327344312197
mwshv	Aggith
	0.544568461444
mayhtav	Caath
	0.524258600084
pashv	Ioiachim
	0.577717386305
pollwn	Hisboseth
	0.529979170456
gh	Helimelech
	0.391303011901
creian	Godoliam
	0.54248795705
hrxato	Asiongaber
	0.538112808493
shmeron	Eliasib
	0.503525724096
agiwn	curru
	0.517959005685
quchn	Sarra
	0.588435330173
ouranoiv	Heliam
	0.567650241579
sarki	Hieu
	0.562775366422
idontev	Magog
	0.538564520947
legein	ieiunio
	0.520030631228
htiv	Eliachim
	0.50144610713
ergon	Hieroboam
	0.569949765921
oikian	Salphaad
	0.505896033036
labwn	confugii
	0.449967213454
adelfouv	aedificabo
	0.652752081228
ouranw	Heliseus
	0.474311348379
pilatov	memoriale
	0.58082396669
shmeion	nazarei
	0.582893253522
arton	culpa
	0.564611669984
cwriv	Saphat
	0.451674501149
efh	exordio
	0.489954262762
ouketi	Ezechiam
	0.541556084326
yelw	Iudaeam
	0.630658637958
sarka	Hieu
	0.547103382345
apesteilen	levitici
	0.53341661654
doxa	Ahab
	0.581275362835
yronou	armiger
	0.58178785041
laou	Oreb
	0.387465198123
sarkov	rex
	0.551737924218
idein	Antiochiae
	0.584427646887
polewv	Heber
	0.409763923016
galilaiav	Gerson
	0.395866103061
genesyai	Sennacherib
	0.47556297501
iwannhn	levitici
	0.490021113496
mhden	Iuda
	0.573853094826
ofyalmouv	speluncam
	0.565898222028
mhte	villam
	0.708390990954
uiou	aream
	0.53602819935
eiselyein	Belial
	0.487064265622
olon	obtulerat
	0.597993777258
pente	Beniamin
	0.53863173711
tinov	observa
	0.440338803984
kosmw	Ezechiam
	0.622077252697
ecousin	Maspha
	0.560400139824
kalwv	Samariam
	0.532754572635
anastav	Gerson
	0.415985544988
arti	ieiunio
	0.558540035011
akousav	Raphidim
	0.499978346851
pistiv	Ezechiam
	0.510852656707
mian	Berzellai
	0.598805805375
