	0.195696605049
eidon	quia
	0.578061530153
euyewv	quia
	0.418089298367
ecwn	quia
	0.486154046561
nekrwn	quia
	0.289119181302
epoihsen	quia
	0.236222864395
ghn	quod
	0.224561078893
pan	quod
	0.497816204766
toutou	quoniam
	0.328968846824
criston	quia
	0.472024642779
basileia	quia
	0.480241134026
swma	quia
	0.335792458606
gunh	quia
	0.513512081504
elegon	quia
	0.3913735277
ioudaiwn	hoc
	0.524527351691
monon	quia
	0.425166703215
abraam	quia
	0.356516386473
dunatai	quia
	0.242960439792
kosmou	quia
	0.396113062246
eauton	quia
	0.455163764057
megalh	quia
	0.589501310343
israhl	quia
	0.398110980025
toutwn	quia
	0.360327768449
logov	quoniam
	0.526570691914
kurion	quoniam
	0.491477085597
nomou	quia
	0.402043520118
prwton	quia
	0.442296905967
kagw	quia
	0.203922201542
gegraptai	quia
	0.247857791796
polla	quia
	0.383975371805
tina	quia
	0.308737653982
edwken	quia
	0.225563610345
allhlouv	quia
	0.348770716861
eautouv	quia
	0.435433495572
elegen	quia
	0.206100010834
exhlyen	quia
	0.577137537814
exw	quia
	0.423988913781
oidate	quia
	0.223404845811
ouv	enim
	0.450380944016
eite	quia
	0.279004785048
hlyon	quod
	0.604224955229
agaph	quia
	0.410789309204
touton	quia
	0.440146422999
fwnh	quia
	0.443530402035
andrev	quamdiu
	0.552366227498
tekna	quia
	0.322585246129
kardiav	quia
	0.47178992707
erga	quia
	0.178237948196
anyrwpon	quia
	0.46407139966
polin	quod
	0.55302625711
kay	quia
	0.488078716284
idwn	hoc
	0.409070538123
par	quoniam
	0.471873557357
cariv	quoniam
	0.357570854629
wra	quia
	0.285271749719
hmeran	quod
	0.54374577297
zwhn	quia
	0.459743091657
basileian	quia
	0.580559736464
dwdeka	quamdiu
	0.577755115927
oitinev	quia
	0.436390785825
panti	quoniam
	0.418269957149
oikon	ego
	0.529586984146
nomon	quia
	0.43347804655
wde	quia
	0.264777032454
ceirav	enim
	0.42043531167
dabid	quia
	0.277995147126
ekeinov	quia
	0.391040380572
hdh	quia
	0.281391944264
pasan	quod
	0.489349528791
osa	quia
	0.209801716114
legousin	quia
	0.32562156967
doxan	quod
	0.494978833026
amartiav	quia
	0.298249317755
pistei	quia
	0.252264037629
ioudaioi	quia
	0.419639320495
tauthn	quia
	0.389128536256
opwv	quia
	0.427584778496
mhde	quia
	0.30012794254
kardia	quia
	0.271603119626
